Designator,Footprint,Center-X(mm),Center-Y(mm),Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm),Layer,Rotation,Ident
"C601","CAPC1608X90N","27.95","44.675","27.95","44.675","27.95","43.875","Top","90","KO470V63-S16"
"C602","CAPC1608X90N","41.625","49.932","41.625","49.932","40.825","49.932","Top","0","KO104V50-S10"
"C700","CAPC1608X90N","110.44","61.795","110.44","61.795","110.44","60.995","Top","90","KO104V50-S10"
"C701","CAPC1608X90N","109.954","48.454","109.954","48.454","109.954","47.654","Top","90","KO104V50-S10"
"C702","CAPC1608X90N","114.888","62.595","114.888","62.595","115.688","62.595","Top","180","KO104V50-S10"
"C703","CAPC1608X90N","114.888","49.227","114.888","49.227","115.688","49.227","Top","180","KO104V50-S10"
"C704","CAPC1608X90N","127.936","59.145","127.936","59.145","127.936","58.345","Top","90","KO104V50-S10"
"C705","CAPC1608X90N","127.77","41.707","127.77","41.707","127.77","42.507","Top","270","KO104V50-S10"
"C706","CAPC1608X90N","127.714","26.77","127.714","26.77","127.714","27.57","Top","270","KO104V50-S10"
"C320","CAPC1608X100N","80.317","37.625","80.317","37.625","80.317","36.825","Top","90","KO105V63-S26"
"C512","CAPC3216X180N","119.5","70.8","119.5","70.8","119.5","72.25","Top","270","KO476V25-S15"
"C518","CAPC3216X180N","75.477","73.6","75.477","73.6","75.477","75.05","Top","270","KO476V25-S15"
"C603","CAPC3216X180N","9.453","55","9.453","55","10.903","55","Top","180","KO102V2000-S15"
"C400","CAPC3216X190N","13.5","79.5","13.5","79.5","13.5","78.05","Top","90","KO105V63-S20"
"C401","CAPC3216X190N","15.35","74.6","15.35","74.6","15.35","73.15","Top","90","KO105V63-S20"
"C503","CAPC3216X190N","109.134","15.804","109.134","15.804","107.684","15.804","Top","0","KO105V63-S20"
"C202","CAPC3225X280N","99.2","54.795","99.2","54.795","97.75","54.795","Top","0","KO106V50-S60"
"C500","CAPC3225X280N","103.27","13.656","103.27","13.656","103.27","15.106","Top","270","KO106V50-S60"
"C501","CAPC3225X280N","100.134","6.125","100.134","6.125","100.134","4.675","Top","90","KO106V50-S60"
"C505","CAPC3225X280N","115.334","13.604","115.334","13.604","115.334","15.054","Top","270","KO106V50-S60"
"C506","CAPC3225X280N","121.725","8.832","121.725","8.832","121.725","7.382","Top","90","KO106V50-S60"
"C508","CAPC3225X280N","131.501","87.93","131.501","87.93","131.501","86.48","Top","90","KO106V50-S60"
"C509","CAPC3225X280N","128.343","87.926","128.343","87.926","128.343","86.476","Top","90","KO106V50-S60"
"C510","CAPC3225X280N","125.225","87.93","125.225","87.93","125.225","86.48","Top","90","KO106V50-S60"
"C514","CAPC3225X280N","94.4","88.418","94.4","88.418","94.4","86.968","Top","90","KO106V50-S60"
"C515","CAPC3225X280N","90.2","88.418","90.2","88.418","90.2","86.968","Top","90","KO106V50-S60"
"C516","CAPC3225X280N","86","88.418","86","88.418","86","86.968","Top","90","KO106V50-S60"
"S201","CK_KSC2_TE_01J","18.1","20.7","18.1","20.7","21","22.7","Top","0","TAST_KSC2TE01J-S00"
"S202","CK_KSC2_TE_01J","18.1","28.2","18.1","28.2","21","30.2","Top","0","TAST_KSC2TE01J-S00"
"S203","CK_KSC2_TE_01J","18.1","35.7","18.1","35.7","21","37.7","Top","0","TAST_KSC2TE01J-S00"
"D500","DIOM7959X265","115.738","78.883","115.738","78.883","112.215","78.883","Top","180","DIMBRS340-S11"
"D501","DIOM7959X265","69.1","79.3","69.1","79.3","65.577","79.3","Top","180","DIMBRS340-S11"
"ET100","ETIKETT_20X8","-220","-205","49.743","31.574","-220","-205","Top","0","ETI20X8"
"FID100","FIDUCIAL_O_1MM","146","6","146","6","146","6","Bottom","90","AD-FID-O-1.0MM"
"FID101","FIDUCIAL_O_1MM","145","94","145","94","145","94","Top","90","AD-FID-O-1.0MM"
"FID102","FIDUCIAL_O_1MM","145","94","145","94","145","94","Bottom","90","AD-FID-O-1.0MM"
"FID103","FIDUCIAL_O_1MM","4.3","7","4.3","7","4.3","7","Top","90","AD-FID-O-1.0MM"
"FID104","FIDUCIAL_O_1MM","4.3","7","4.3","7","4.3","7","Bottom","90","AD-FID-O-1.0MM"
"FID105","FIDUCIAL_O_1MM","146","6","146","6","146","6","Top","90","AD-FID-O-1.0MM"
"X202","HARTING_0918520X324","51.8","8.7","51.8","8.7","63.23","9.97","Top","180","ST20G-K10"
"X700","HARTING_09031646921","153.43","50","160","50","154.7","89.37","Top","90","ST09031646921-K00"
"X400","HIROSE_FH12-20S-0.5SH","4.675","70.85","6.3","70.85","6.3","75.6","Top","90","PABUFH12-S21"
"L500","IND_WE-PD_1280","127.251","74.15","127.251","74.15","127.251","79.15","Top","0","PAI336B-S11"
"L501","IND_WE-PD_1280","83.9","75.375","83.9","75.375","83.9","80.375","Top","0","PAI336B-S11"
"LED302","LED_KINGBRIGHT_KP-1608SGC","85.3","8.048","85.3","8.048","85.3","7.248","Top","270","DIKP-1608SGC-S10"
"LED600","LED_KINGBRIGHT_KP-1608SGC","37.125","36.075","37.125","36.075","37.125","35.275","Top","270","DIKP-1608SGC-S10"
"LED601","LED_KINGBRIGHT_KP-1608SGC","35.1","36.075","35.1","36.075","35.1","35.275","Top","270","DIKP-1608SGC-S10"
"LED300","LED_KINGBRIGHT_KP-1608SURC","75.425","7.948","75.425","7.948","75.425","7.148","Top","270","DIKP-1608SURC-S10"
"LED301","LED_KINGBRIGHT_KP-1608SYCK","80.35","7.973","80.35","7.973","80.35","7.173","Top","270","DIKP-1608SYCK-S10"
"X401","MOLEX_53261-0471","4.35","89.725","5.8","89.725","5.8","91.6","Top","90","STSMDW53261-4P-S20"
"Q200","OSCSC250P500X320X130-4","70.566","26.1","70.566","26.1","69.296","25","Top","0","HAQU25.00-S10"
"IC700","QFN50P350X550X100-24EP_TI_RHL0024A","112.89","56.545","112.89","56.545","112.14","59.195","Top","0","ICSN74LXCH-S00"
"IC701","QFN50P350X550X100-24EP_TI_RHL0024A","112.854","43.654","112.854","43.654","112.104","46.304","Top","0","ICSN74LXCH-S00"
"IC600","QFN65P400X400X80-16EP","36.875","46.15","36.875","46.15","37.85","48.175","Top","270","ICFT230XQ-S10"
"R304","RESC1608N","75.425","11.504","75.425","11.504","75.425","12.304","Top","270","WI2870-S10"
"R305","RESC1608N","80.4","11.454","80.4","11.454","80.4","12.254","Top","270","WI2870-S10"
"R500","RESC1608N","103.252","7.15","103.252","7.15","103.252","6.35","Top","90","WI9093-S00"
"R503","RESC1608N","118.834","7.132","118.834","7.132","118.834","7.932","Top","270","WI9093-S00"
"R505","RESC1608N","123.799","92.8","123.799","92.8","123.799","92","Top","90","WI1741-S10"
"R507","RESC1608N","78.2","92.6","78.2","92.6","78.2","91.8","Top","90","WI3161-S17"
"R200","RESC1608X60N","70.229","15.598","70.229","15.598","71.029","15.598","Top","180","WI1002-S17"
"R201","RESC1608X60N","70.228","13.98","70.228","13.98","71.028","13.98","Top","180","WI1002-S17"
